family	artifact_or_path	installed_identity	target_identity	state	disposition_or_next_action	authority	issue
Unicode abandoned	/vault/Data/Unicode.BAD-DONOTUSE	37 GiB partial flattened extraction	none	superseded	delete exact tree after UCD verification and removal receipt	local abandoned work	#1043
Unicode 18	absent	future release	18.0 scheduled 2026-09-16	excluded-with-reason	not current as of audit date	https://www.unicode.org/versions/Unicode18.0.0/	#1043
Syzygy	/vault/Data/Games/Chess/syzygy/3-4-5	290 files; 983957920 bytes; all official MD5 pass	complete 3-5 men	admitted	retain with manifest; equals 1-3 non-king pieces plus kings	https://tablebase.sesse.net/syzygy/	#605
Syzygy	/vault/Data/Games/Chess/syzygy/6-men	absent	complete 6-men WDL+DTZ	absent	decide admitted vs excluded; approximately 149 GB/730 files	https://tablebase.sesse.net/syzygy/	#605
Syzygy	7-men	absent	complete 7-men	excluded-with-reason	capacity: approximately 18.4 TB exceeds vault	https://tablebase.lichess.ovh/tables/standard/7/	#605
ConceptNet	/vault/Data/ConceptNet	5.7	5.7/current published release	current-verify	retain; pin assertions artifact/license/hash	https://github.com/commonsense/conceptnet5/wiki/Downloads	#1403
OpenSubtitles	/vault/Data/OpenSubtitles	v2024	v2024	current-verify	retain; enumerate languages/packaging/license	https://opus.nlpl.eu/OpenSubtitles/	#1403
GeoNames	.refresh-20260903/GeoNames	2026-09-03 fetched daily dump	current pinned daily snapshot	staged	manifest allCountries/alternateNamesV2/hierarchy/admin/country/feature/language sidecars	https://download.geonames.org/export/dump/	#372
GeoNames deprecated aliases	alternateNames.zip	not selected	alternateNamesV2.zip	excluded-with-reason	upstream deprecated; V2 contains from/to columns	https://download.geonames.org/export/dump/	#372
Wikipedia	absent	none	current pinned enwiki pages-articles multistream plus index/status/checksums	absent	acquire complete selected dump family for offline prose	https://dumps.wikimedia.org/enwiki/	#372
Wikidata	absent	none	current pinned qualified full statement dump	absent	acquire full offline statements; truthy dump only explicit derived/alternate role	https://www.wikidata.org/wiki/Wikidata:Database_download	#372
Natural Earth	absent	none	5.1.x current cultural vectors	absent	acquire Admin-0 countries and populated places with version/public-domain receipt	https://www.naturalearthdata.com/downloads/	#372
HateCheck	.refresh-20260903/Safety/HateCheck/source.tar.gz	master snapshot	pin immutable commit	staged	record commit/license; retain all cases/test suite/annotations/templates/guidelines	https://github.com/paul-rottger/hatecheck-data	#1473
Civil Comments	.refresh-20260903/Safety/CivilComments/data	four official Parquet shards	pin HF commit/LFS hashes	staged	admit CC0 with continuous labels and identity fields	https://huggingface.co/datasets/google/civil_comments	#1473
ToxiGen	.refresh-20260903/Safety/ToxiGen	CSV core/raw/human annotations	pin HF commit/LFS hashes	staged	admit generated/human provenance separately	https://huggingface.co/datasets/toxigen/toxigen-data	#1473
Measuring Hate Speech	.refresh-20260903/Safety/MeasuringHateSpeech/measuring-hate-speech.parquet	official root Parquet	pin HF commit/LFS hash	staged	admit labels/annotator metadata and limitations	https://huggingface.co/datasets/ucberkeley-dlab/measuring-hate-speech	#1473
Social Bias Frames	.refresh-20260903/Safety/SocialBiasFrames/SBIC.v2.tgz	v2 archive	v2	staged	verify archive/license/schema then admit	https://homes.cs.washington.edu/~msap/social-bias-frames/SBIC.v2.tgz	#1473
ProsocialDialog	.refresh-20260903/Safety/ProsocialDialog	train/valid/test JSON	pin HF commit/LFS hashes	staged	admit unsafe reasons and prosocial responses	https://huggingface.co/datasets/allenai/prosocial-dialog	#1473
Social Chemistry 101	.refresh-20260903/Safety/SocialChemistry101/social-chem-101.zip	official release ZIP	released dataset	staged	verify CC-BY-SA-4.0/schema/hash then admit	https://storage.googleapis.com/ai2-mosaic-public/projects/social-chemistry/data/social-chem-101.zip	#1473
RealToxicityPrompts	.refresh-20260903/Safety/RealToxicityPrompts/prompts.jsonl	100k prompt release	pin HF commit/LFS hash	staged	admit as model-scored evaluation evidence, not human ground truth	https://huggingface.co/datasets/allenai/real-toxicity-prompts	#1473
Multilingual HateCheck	absent	none	authoritative release unresolved	absent	locate immutable author artifact and license before admission	https://aclanthology.org/2022.woah-1.15/	#1473
SGHateCheck	absent	none	authoritative repository release	absent	pin commit and verify dataset license before admission	https://github.com/Social-AI-Studio/SGHateCheck	#1473
XSTest	absent	none	authoritative repository release	absent	acquire oversafety contrast suite after license verification	https://github.com/paul-rottger/xstest	#1473
HateXplain	absent	none	license unresolved	unsupported-with-why-not	code MIT does not establish dataset redistribution rights	https://github.com/hate-alert/HateXplain	#1473
